Whiskey Smash,$,Oz,Apple Jack (Whiskey),$,Oz,On Par Tee ,$,Oz,Crown Apple 'rita(Whiskey),$,Oz,Vodka Cran(Vodka),$,Oz,Lemon Drop Martini(Vodka),$,Oz,Apple-tini(Vodka),$,Oz,Pomegranate Martini(Tito's),$,Oz,Ginny from the Block (Gin),$,Oz,Captain Quencher (Rum),$,Oz,House Margarita (Tequilla),$,Oz,Strawberry/Watermelon/Peach/Blueberry Marg (Tequilla),$,Oz,,Strawberry Senorita (Tequilla),$,Oz,Blue Dot (Vodka),$,Oz,Boozy Cucumber Lemonade (Vodka),$,Oz,Spiked Cranberry Lemonade (Vodka),$,Oz,Spiked Strawberry Lemonade (Vodka),$,Oz, Spiked Arnold Palmer (Vodka),$,Oz,Jack and Lemonade (Whiskey),$,Oz,Jacked Up Strawberry Lemonade (Whiskey),$,Oz,Old fashioned (Whiskey),$,Oz,Whiskey Sour (Whiskey),$,Oz,Washington Apple (Whiskey),$,Oz,Espresso Martini,$,Oz
12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,12 gallons,,,,12 gallon,,,12 gallon ,,,12 gallons,,,12 gallon,,,12 gallon,,,,,,,,,12 Gallons,,,12 Gallons ,,,12 Gallons ,,,12 gallon,,,12 Gallons ,,
Jim Beam = 7 bottles (1.75L),230,414,Jack Daniels Fire =4 bottles (1.75L),188,236,Crown Royal= 7 bottles (1.75L),414,414,Crown Apple Royal=10 bottles (1.75L),470,591.7,Tito's=6 bottles (1.75L),208.68,355,Absolut Citron=14 bottles (1.75L),460.6,828,Tito's=6 bottles (1.75L),208.68,355,Titos=6 bottles (1.75L),208.68,355,Bombay Sapphire= 6 bottles (1.75L),$253.80,355,Captain Morgan= 8 bottles (1.75L),$210.56,473,Jose Cuervo=10 bottles (1.75L),$348,592,Jose Cuervo=8 bottles (1.75L),$278,473,31%,Jose Cuervo Silver=6 bottles (1.75L),278.24,355,228 Svedka Blue Raspberry =9 bottles (750ml),76,228.00,Kettle One Cucumber Vodka =12 bottles (1L),338,406,Tito's 6 bottles (1.75L),209,355,Tito's 6 bottles (1.75L),209,355,Titos=6 bottles (1.75L bts),209,355,Jack Daniels=6 bottles (1.75L bts),282,355,Jack Daniels=6 bottles (1.75L),282,355, Bulleit Bourbon=16 (1.75L btls),$827,947,Jack Daniels=10 bottles (1.75L bts),470,592,Crown Apple 6-1.75l,318,355,Tito's Vodka=12 bottles (1.75L btls) 710 oz,417,710
Lemonade = 2.5 gallons,7.23,270,Apple Schnapps = 8 bottles (1 L) ,29.64,270,Peach Schnapps= 8 bottles,96.25,270,Triple Sec=13 bottles (1L),62.29,439.53,Cranberry juice=8 gallons,37.76,1024,300 oz lemon juice=9 bottles (1L),55.26,300,Apple Schnapps (1 Liter)=22 bottles,263.78,743.9,Pomegrante Schnapps (1 Liter)=22 bottles,263.78,743.9,8 gallons Strawberry Lemonade,$31.60,1024,1024 oz gallon lemonade,$24.16,"1,024",Triple Sec=9 bottle (liters),$43,304, Triple Sec=8 bottles (1L),$38,270,18%,1024 oz Strawberry Lemonade,31.6,1024,1152 blue dot juice (9-128oz),14.25,"1,152.00",8 Gallons Lemonade,24,"1,024",5 Gallons Lemonade,15,640,8 Gallons Strawberry lemonade,32,1024,4.5 Gallons Lemonade,14,576,4.5 gallon lemonade,14,576,1024 oz Strawberry Lemonade,32,1024,Bitters= 3 bottles (16oz),$72,48,Sour mix= 4 bottles (128oz bottles),31,512,768oz  Cranberry juice,28,768, Kahlua= 6 bottles (liter) 203 oz,163,203
Simple Syrup = 1 gallon,11.52,128,Vanilla= 64 oz,26.24,64,Sour Mix= 2 bottles (128 oz),7.68,128,Lime Juice=13 bottles (1L),63.64,439.53,,,,320 oz simple syrup (2.5 gallons),29.87,320,Triple Sec (1 Liter)=5 bottles,23.95,169.07,Triple Sec (1 Liter)=5 bottles,23.95,169.07,,,,,,,Sour mix= 2 bottles (128oz),$16,256,Flavored Schnapps=8 bottles (1L),$96,270,18%,,,,128 oz lemonade ,3,128.00,,,,3 Gallons Cranberry,14,384,,,,4.5 Gallons Sweet Tea,14,576,4.5 gallon sweet tea,14,576.00,,,,Simple Syrup= 384oz,35,384, simple syrup= 256oz (2 128oz pitchers),23,256, ,,,Creme de Cocao=6 bottles (liter) 203 oz,43,203
Mint= 2 bottles 25 oz,7.34,25,Lemonade= 5.5 gallons,15.9,704,Lemonade= 3 gallons,8.67,384,,,,,,,,,,Lime Juice (1 Liter)=5 bottles,24.5,169.07,Lime Juice (1 Liter)=5 bottles,24.5,169.07,,,,,,,Lime Juice=9 bottles (1L),$44,304, Sour mix=2 bottles (128oz),$16,256,17%,,,,blue dot juice (1 gallon of water and 6 packets of blue raspberry),,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,Cold Brew Coffee=48 cups diluted 384 oz,25,384
Water= 4.5 gallons,,256,Water= 2 gallons,,256,Water= 2.5 gallons,,320,,,,,,,,,,,,,,,,,,,,,,,,,Lime Juice=8 bottles (1L),$39,270,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total price,648,
Total price,$248.75,,Total price,$243.88,,Total price,$517.93,,Total price,$595.93,,Total price,$246.44,,Total price,$545.73,,Total price,$520.91,,Total price,$520.91,,Total price,$285.40,,Total price,$234.72,,Total price,$451,,Total price,$467,,,Total price ,$309.84,,Total price ,$93.39,,Total Price,$362.40,,Total price ,$238.00,,Total price ,241,,Total price ,237,,Total price ,310,,Total price ,314,,Total price,$934,,Total price,524,,Total price ,346,,Total oz,1500,
Total oz,"1,093",,Total oz,"1,530",,Total oz,"1,516",,Total oz,"1,471",,Total oz,"1,379",,Total oz,"1,448",,Total oz,"1,437",,Total oz,"1,437",,Total oz,"1,379",,Total oz,"1,497",,Total oz,"1,456",,Total oz,"1,540",,,Total oz,"1,379",,Total oz,"1,508",,Total oz,"1,430",,Total oz,"1,379",,Total oz,"1,379",,Total oz,"1,507",,Total oz,"1,507",,Total oz,"1,379",,Total oz,"1,379",,Total oz,"1,360",,Total oz,"1,123",,Total price per oz ,0.43,
