BOTTLE INVENTORY 6/1/2026,,,,,,,Par,Order,,
 ,On Hand ,,Our cost,,Total Dollars,,,,,
Bulliet,16,,$51.70,,$827.20,,16,0,Bulliet,
Crown Royal,5,,$47.00,,$235.00,,,-5,Crown Royal,
Svedka,21,,$8.46,,$177.66,,18,-3,Svedka,
Jose Cuervo,46,,$34.78,,"$1,599.88",,60,14,Jose Cuervo,
Tito's 1.75ml,18,,$34.78,,$626.04,,36,18,Tito's 1.75ml,
Kettle One Cucumber ,12,,$28.20,,$338.40,,12,0,Kettle One Cucumber ,
Absolut Citron,14,,$32.90,,$460.60,,14,0,Absolut Citron,
Crown Apple 1.75,6,,$53.58,,$321.48,,16,10,Crown Apple 1.75,
Captain Morgan,4,,$28.20,,$112.80,,0,-4,Captain Morgan,
Bombay Sapphire,3,,$42.30,,$126.90,,6,3,Bombay Sapphire,do not order for now
Jack Daniels,20,,$47.00,,$940.00,,20,0,Jack Daniels,
Jameson,,,$51.70,,$0.00,,,,Jameson,
Screwball,,,$23.50,,$0.00,,,,Screwball,
Pink Whitney,,,$22.56,,$0.00,,,,Pink Whitney,
Patron,,,$94.00,,$0.00,,,,Patron ,
Kahlua ,6,,$27.26,1,$163.56,,6,0,Kahlua ,
,,,,,,,,,,
Juices and Mixers,Case,Individual ,,"Quantity
 per box",,,,,Juices and Mixers,
Blue Rasp Powder,0.0,,,6,$0.00,,,,Blue Rasp Powder,
Bitters,0.4,5,$279.95,12,$116.65,,6,1,Bitters,
Lemon juice,0.8,10,$73.65,12,$61.38,,9,-1,Lemon juice,
Raspberry Schnapps,0.7,8,$143.90,12,$95.93,,8,0,Raspberry Schnapps,
Pomegranate Schnapps,1.5,18,$143.90,12,$215.85,,22,4,Pomegranate Schnapps,
Strawberry Schnapps,0.7,8,$138.50,12,$92.33,,8,0,Strawberry Schnapps,
Triple sec,1.8,22,$59.94,12,$109.89,,40,18,Triple sec,
Peach Schnapps,1.1,13,$138.50,12,$150.04,,8,-5,Peach Schnapps,
Blueberry Schnapps,0.7,8,$138.50,12,$92.33,,8,0,Blueberry Schnapps,
Lime juice ,1.9,23,$57.75,12,$110.69,,40,17,Lime juice ,
Watermelon Schnapps,0.8,9,$138.50,12,$103.88,,8,-1,Watermelon Schnapps,
Apple Schnapps,0.0,,$143.90,12,$0.00,,0,0,Apple Schnapps,
Creme de Cacao,1.0,12,$44.47,12,$44.47,,12,0,Creme de Cacao,
Cold Brew,4.0,4,$8.99,1,$35.96,,,-4,Cold Brew,
sweet and sour,6.0,24,$38.94,4,$233.64,,16,-8,sweet and sour,
,,,,,,,,,,
Bottle Service Karaoke Cooler, ,,,,,,,,Bottle Service Karaoke Cooler,
Patron,,,$44.18,,$0.00,,0,0,Patron,
Don Julio,,,$47.00,,$0.00,,0,0,Don Julio,
Grey Goose,,,$23.50,,$0.00,,0,0,Grey Goose,
,,,,,,,,,,
Bubbly in patio cooler ,,,,,,,,,,
Korbel Brut,0.0,,$119.95,12,$0.00,,,,,
Total mixers and bottles on hand,,,,,"$7,392.56",,,,,
Total inventory coolers+walls,,,,,"$25,354.85",,,,,
Total beverage inventory ,,,,,"$32,747.41",,,,,
