"Tap
 #","Type of 
beverage",Brand 
,,Patio
1,Shots,Hennessy (Cognac) 3
2,Shots,Bacardi Superior Traveler (Rum) 3
3,Shots,1800 Reposado (Tequila) 3
4,Shots,Don Julio Blanco (Tequila) 3
5,Shots,Jose Cuervo Silver (Tequila) 3
6,Shots,Pink Whitney (Vodka) 3
7,Shots,Jameson Irish (Whiskey) 3
8,Shots,Skrewball Peanut Butter (Whiskey) 3
9,Shots,Absolut Raspberri (Vodka) 3
10,Shots,Absolut Vanilia (Vodka) 3
11,Shots,Grey Goose (Vodka) 3
12,Shots,Patron Silver (Tequila) 3
13,Shots,Tito's (Vodka) 3
14,Shots,Bulleit (Bourbon) 3
15,Shots,Crown Royal (Whiskey) 3
16,Shots,Crown Royal Apple (Whiskey) 3
17,Shots,Crown Royal Peach (Whiskey) 3
18,Shots,Jim Beam (Whiskey) 3
19,Shots,Jack Daniel's (Whiskey) 3
20,Shots,Jack Daniel's Fire (Whiskey) 3
,,
"Blue-
Correct 
Spot","Green-Keep
Red-Get rid of",Main Bar
21,Lager,MICHELOB ULTRA 1
22,Lager,MILLER LITE 1
23,Lager,BUSCH LIGHT 1
24,Lager,PABST BLUE RIBBON 1
25,Lager,COORS LIGHT 1
26,Lager,BUD LIGHT 1
27,Lager,CINCY LIGHT 1
28,Seasonal,SUMMER ALE 1
29,Blonde,KONA BIG WAVE 1
30,Blonde,YUENGLING 1
31,Blonde,GARAGE BEER LIME 1
32,IPA,GOOSE IPA 1
33,Wheat,BLUE MOON 1
34,IPA,CORONA 1
35,IPA,VOODOO RANGER JUICY HAZE 1 
36,IPA,TRUTH 1
37,Bourbon Ale,DORTMUNDER GOLD LAGER 1
38,Import,STELLA ARTOIS 1
39,Stout,BREAKFAST STOUT 1
40,Import,MODELO 1
41,Strong Ale,TWO HEARTED IPA 1
42,Sour,BUDWEISER 1
43,Cider,ANGRY ORCHARD 1 
44,Cider,TRIPLE JAM CIDER 1
45,Seltzer,ASTRA RED CREAM SODA 1
46,Seltzer,TRULY WILD BERRY 1
47,Cocktail,GIN & JUICE (BOMBAY) 1
48,Cocktail,CAPTAIN QUENCHER (CAPTAIN MORGAN) 1
49,Cocktail,BLUEBERRY MARGARITA (JOSE CUERVO) 1
50,Cocktail,HOUSE MARGARITA (JOSE CUERVO) 1
51,Cocktail,PEACH MARGARITA (JOSE CUERVO) 1
52,Cocktail,RASPBERRY MARGARITA (JOSE CUERVO) 1
53,Cocktail,STRAWBERRY MARGARITA (JOSE CUERVO) 1
54,Cocktail,WATERMELON MARGARITA (JOSE CUERVO) 1
55,Cocktail,STRAWBERRY SENORITA (JOSE CUERVO) 1
56,Cocktail,APPLETINI (TITO'S) 1
57,Cocktail,BLUE DOT (SVEDKA) 1
58,Cocktail,BOOZY CUCUMBER LEMONADE (KETEL ONE) 1
59,Cocktail,ESPRESSO MARTINI (TITO'S) 1
60,Cocktail,LEMON DROP MARTINI (ABSOLUT CITRON) 1
61,Cocktail,POMEGRANATE MARTINI (TITO'S) 1
62,Cocktail,SPIKED ARNOLD PALMER (TITO'S) 1
63,Cocktail,SPIKED CRANBERRY LEMONADE (TITO'S) 1
64,Cocktail,SPIKED PINK LEMONADE (TITO'S) 1
65,Cocktail,SPIKED STRAWBERRY LEMONADE (TITO'S) 1
66,Cocktail,VODKA CRAN (TITO'S) 1
67,Cocktail,CROWN APPLE 'RITA 1
68,Cocktail,JACKED UP STRAWBERRY LEMONADE (JACK DANIELS) 1
