Whiskey Smash,$,Oz,Apple Jack (Whiskey),$,Oz,On Par Tee ,$,Oz
12 gallons,,,12 gallons,,,12 gallons,,
Jim Beam = 7 bottles (1.75L),230,414,Jack Daniels Fire =4 bottles (1.75L),188,236,Crown Royal= 7 bottles (1.75L),414,414
Lemonade = 2.5 gallons,7.23,270,Apple Schnapps = 8 bottles (1 L) ,29.64,270,Peach Schnapps= 8 bottles,96.25,270
Simple Syrup = 1 gallon,11.52,128,Vanilla= 64 oz,26.24,64,Sour Mix= 2 bottles (128 oz),7.68,128
Mint= 2 bottles 25 oz,7.34,25,Lemonade= 5.5 gallons,15.9,704,Lemonade= 3 gallons,8.67,384
Water= 4.5 gallons,,256,Water= 2 gallons,,256,Water= 2.5 gallons,,320
,,,,,,,,
,,,,,,,,
Total price,$248.75,,Total price,$243.88,,Total price,$517.93,
Total oz,"1,093",,Total oz,"1,530",,Total oz,"1,516",
Total price per oz ,$0.23,,Total price per oz ,$0.16,,Total price per oz ,$0.34,
Price we're charging ,$1.99,,Price we're charging ,$1.49,,Price we're charging ,$1.99,
Profit per oz,$1.76,,Profit per oz,$1.33,,Profit per oz,$1.65,
Profit margin,88.56,,Profit margin,89.30,,Profit margin,82.83,
Cost for 1.5 oz of liquor ,$7.88,,Cost for 1.5 oz of liquor ,$14.49,,Cost for 1.5 oz of liquor ,$10.93,
How many oz per shot,3.96,,How many oz per shot,9.72,,How many oz per shot,5.49,
