,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1800 Reposado (Tequila) 3,13.52,6,3,16.1,17.6,6,8.5,8,3.5,22.5,33.5,14.5,4.5,14.5,20,19.5,22.5,11.04,20.5,17.7,12,19.56,13.5,16.5,6,4,10.5,,16.5,9.3,7.5,25.5,6,16.5,21,0
,9,Absolut Raspberri (Vodka) 3,14.52,14.5,13.6,12,24.1,14.1,22.7,12,15,9.5,9.5,7.5,6,28,20.5,6.5,12,17.5,12,10.02,18,19.54,13,7.5,13.5,18,21,,11,15,9,15,3,9,15,9.03
,10,Absolut Vanilia (Vodka) 3,8.96,2,10.6,3,15.1,3,6.6,4.5,5.5,12,11,15.5,1.5,7.5,1.5,5.5,7.5,19.5,9.5,21.53,9,1.51,15,13.5,3,22,6,,7.8,11.1,13.3,6,12,6,0,1.5
,43,ANGRY ORCHARD 1,0.76,0.43,0.43,1.13,0.72,0.48,0.86,0.93,0.71,0.77,0.72,0.88,0.66,1.26,1.06,0.73,0.72,0.63,0.73,0.71,0.93,0.6,0.95,0.59,0.47,0.72,0.85,,0.7,0.7,0.45,0.87,0.8,0.7,0.42,0.29
,82,ANGRY ORCHARD 2,0.17,0.13,0.12,0.2,0.24,0.16,0.13,0.14,0.17,0.18,0.13,0.18,0.2,0.41,0.28,0.09,0.12,0.19,0.14,0.15,0.31,0.04,0.22,0.11,0.17,0.12,0.18,,0.2,0.1,0.12,0.1,0.2,0.13,0.11,0.02
,56,APPLETINI (TITO'S) 1,0.06,0.06,0.04,0.12,0.06,0.05,0.06,0.09,0.06,0.06,0.04,0.06,0.11,0.08,0.06,0.06,0.07,0.04,0.05,0.04,0.05,0.06,0.1,0.06,,,,,0.1,0.1,,0.1,0.12,0.05,0.04,0.03
,45,ASTRA RED CREAM SODA 1,0.56,0.49,0.31,0.8,0.45,0.33,0.36,0.41,0.44,0.53,0.61,0.43,0.5,0.67,0.53,0.5,0.73,0.66,0.68,0.68,0.36,0.51,0.92,0.68,0.59,0.55,0.74,,0.6,0.6,0.39,0.79,0.68,0.51,0.26,0.11
,81,ASTRA RED CREAM SODA 2,0.12,0.07,0.12,0.11,0.11,0.05,0.12,0.1,0.11,0.18,0.15,0.14,0.12,0.16,0.2,0.19,0,,,,,,,,,,,,,,,,,,,
,2,Bacardi Superior Traveler (Rum) 3,6.74,2,0,3.5,6,9.6,4,9,7,19.5,8,1.5,1.5,5,10.5,7.5,9,4.5,11.5,16.53,7.5,1.51,9,3,4.5,4.5,9,,12.2,5.3,3,12,31,3,6,3.01
