,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1800 Reposado (Tequila) 3,8.50,,14.42,8.50,8.00,3.50,22.50,33.50,14.50,4.50,14.50,20.00,19.50,22.50,11.04,20.50,17.70,12.00,19.56,13.50,16.5,6.0,4.00,10.5,,16.5,9.3,7.5,25.50,6.00,16.50,21.00,0.00,,,,,,,,,,,
,9,Absolut-Raspberri (Vodka) 750ml 3,22.70,,14.25,22.70,12.00,15.00,9.50,9.50,7.50,6.00,28.00,20.50,6.50,12.00,17.50,12.00,10.02,18.00,19.54,13.00,7.5,13.5,18.00,21.0,,11.0,15.0,9.0,15.00,3.00,9.00,15.00,9.03,,,,,,,,,,,
,10,Absolut-Vanilla (Vodka) 3,6.60,,9.48,6.60,4.50,5.50,12.00,11.00,15.50,1.50,7.50,1.50,5.50,7.50,19.50,9.50,21.53,9.00,1.51,15.00,13.5,3.0,22.00,6.0,,7.8,11.1,13.3,6.00,12.00,6.00,0.00,1.50,,,,,,,,,,,
,43,ANGRY ORCHARD 1 ,"1,698.00",0.86,0.78,0.86,0.93,0.71,0.77,0.72,0.88,0.66,1.26,1.06,0.73,0.72,0.63,0.73,0.71,0.93,0.60,0.95,0.59,0.47,0.72,0.85,,0.7,0.7,0.45,0.87,0.80,0.70,0.42,0.29,,,,,,,,,,,
,82,ANGRY ORCHARD 2,260.00,0.13,0.17,0.13,0.14,0.17,0.18,0.13,0.18,0.20,0.41,0.28,0.09,0.12,0.19,0.14,0.15,0.31,0.04,0.22,0.11,0.17,0.12,0.18,,0.2,0.1,0.12,0.10,0.20,0.13,0.11,0.02,,,,,,,,,,,
,56,APPLETINI (TITO'S) 1,85,0.06,0.06,0.06,0.09,0.06,0.06,0.04,0.06,0.11,0.08,0.06,0.06,0.07,0.04,0.05,0.04,0.05,0.06,0.10,0.06,,,,,0.1,0.1,,0.10,0.12,0.05,0.04,0.03,,,,,,,,,,,
,45,ASTRA RED CREAM SODA 1,712,0.36,0.58,0.36,0.41,0.44,0.53,0.61,0.43,0.50,0.67,0.53,0.50,0.73,0.66,0.68,0.68,0.36,0.51,0.92,0.68,0.59,0.55,0.74,,0.6,0.6,0.39,0.79,0.68,0.51,0.26,0.11,,,,,,,,,,,
,81,ASTRA RED CREAM SODA 2,247,0.12,0.13,0.12,0.10,0.11,0.18,0.15,0.14,0.12,0.16,0.20,0.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2,Bacardi Superior Traveler(Rum) 3,4.00,,7.34,4.00,9.00,7.00,19.50,8.00,1.50,1.50,5.00,10.50,7.50,9.00,4.50,11.50,16.53,7.50,1.51,9.00,3.0,4.5,4.50,9.0,,12.2,5.3,3.0,12.00,31.00,3.00,6.00,3.01,,,,,,,,,,,
,57,BLUE DOT (SVEDKA) 1,238,0.16,0.24,0.16,0.17,0.15,0.29,0.28,0.29,0.24,0.31,0.19,0.28,0.17,0.21,0.32,0.18,0.16,0.25,0.28,0.26,0.28,0.28,0.36,,0.3,0.3,0.26,0.33,0.40,0.17,0.16,0.12,,,,,,,,,,,
,97,BLUE DOT (SVEDKA) 2,138,0.09,0.06,0.09,0.03,0.05,0.05,0.07,0.07,0.05,0.04,0.04,0.05,0.03,0.05,0.09,0.02,0.05,0.11,0.18,0.06,0.03,0.06,0.05,,0.1,0.0,0.05,0.14,0.09,0.07,0.04,0.12,,,,,,,,,,,
,33,BLUE MOON 1,1461,0.74,0.50,0.74,0.37,0.50,0.49,0.46,0.71,0.47,0.66,0.58,0.53,0.60,0.46,0.35,0.06,0.63,0.43,0.74,0.50,0.37,0.38,0.38,,0.6,0.4,0.23,0.81,0.83,0.32,0.38,0.31,,,,,,,,,,,
,49,BLUEBERRY MARGARITA (JOSE CUERVO) 1,225,0.15,0.13,0.15,0.13,0.13,0.12,0.11,0.14,0.20,0.16,0.25,0.24,0.09,0.12,0.09,0.09,0.05,0.06,0.10,0.06,,,,,0.1,0.1,,0.10,0.12,0.05,0.04,0.09,,,,,,,,,,,
,59,BOOZY CUCUMBER LEMONADE (KETEL ONE) 1,252,0.18,0.17,0.18,0.11,0.20,0.16,0.12,0.22,0.08,0.18,0.16,0.20,0.20,0.15,0.16,0.17,0.17,0.13,0.25,0.20,0.20,0.15,0.25,,0.2,0.2,0.17,0.25,0.21,0.05,0.17,0.03,,,,,,,,,,,
,98,BOOZY CUCUMBER LEMONADE (KETEL ONE) 2,86,0.06,0.04,0.06,0.01,0.02,0.05,0.03,0.01,0.07,0.06,0.02,0.07,0.05,0.04,0.05,0.05,0.04,0.01,0.11,0.08,0.02,0.03,0.06,,0.1,0.0,0.03,0.04,0.10,0.03,0.03,0.01,,,,,,,,,,,
,39,BREAKFAST STOUT 1,355,0.18,0.22,0.18,0.19,0.19,0.28,0.24,0.30,0.29,0.31,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,BUD LIGHT 1,912,0.46,0.47,0.46,0.34,0.36,0.51,0.29,0.45,0.45,0.79,0.44,0.40,0.51,0.48,0.53,0.37,0.42,0.52,0.67,0.33,0.58,0.50,0.42,,0.6,0.5,0.36,0.53,0.67,0.63,0.46,0.13,,,,,,,,,,,
